Candidate,Constituency,Party,Criminal Case(s),Education,Total Assets,Liabilities
RAJESH KUMAR MANJHI,Gaya,RJD,0,8th Pass,Nil,Rs 26000 
RADHEY SHYAM KORI,Ghatampur,SP,0,10th Pass,Rs 1868196 ,Rs 0 
AFAJAL ANSARI,Ghazipur,SP, 1 ,Post Graduate,Rs 5085464 ,Rs 38022 
CHANDRADEO PRASAD RAJBHAR,Ghosi,SP,0,Post Graduate,Rs 600143 ,Rs 0 
TEK LAL MAHTO,Giridih,JMM, 1 ,Graduate,Rs 625000 ,Rs 0 
ELANGOVAN E. V. K. S.,Gobichettipalayam,INC, 13 ,Graduate,Rs 5031000 ,Rs 0 
FURKAN ANSARI,Godda,INC, 3 ,Graduate,Rs 1499897 ,Rs 800000 
SOLANKI BHUPENDRASINH PRABHATSINH,Godhra,BJP,0,Graduate Professional,Rs 2724746 ,Rs 0 
KIRTI VARDHAN SINGH  ALIAS RAJA BHAIYA,Gonda,SP,0,Post Graduate,Rs 8600704 ,Rs 595401 
ANIRUDH PRASAD ALIAS SADHU YADAV,Gopalganj,RJD, 3 ,Graduate,Rs 5234219 ,Rs 443268 
ADITYA NATH,Gorakhpur,BJP,0,Graduate,Rs 960672 ,Rs 0 
IQBAL AHMED SARADGI,Gulbarga,INC,0,Graduate Professional,Rs 11451875 ,Rs 0 
JYOTIRADITYA MADHAVRAO SCINDIA,Guna,INC,0,Post Graduate,Rs 35827904 ,Rs 0 
RAYAPATI  SAMBASIVA RAO,Guntur,INC,0,Not Given,Rs 48198297 ,Rs 9889900 
VINOD KHANNA,Gurdaspur,BJP,0,Graduate,Rs 81081889 ,Rs 1236000 
RAMSEVAK SINGH ( BABUJI),Gwalior,INC,0,5th Pass,Rs 5443950 ,Rs 0 
RAM VILAS PASWAN,Hajipur,LJNSP,0,Post Graduate,Rs 8332433 ,Rs 0 
RAJNARAYAN ALIAS RAJJU MAHRAJ,Hamirpur,SP,0,Graduate Professional,Rs 2640727 ,Rs 387411 
SURESH CHANDEL,Hamirpur,BJP,0,Post Graduate,Rs 6426759 ,Rs 1069724 
B.VINOD KUMAR,Hanamkonda,TRS,0,Graduate,Rs 10011716 ,Rs 0 
SURENDRA PRAKASH GOYAL,Hapur,INC, 1 ,8th Pass,Rs 6164616 ,Rs 0 
USHA VERMA,Hardoi,SP,0,Post Graduate,Rs 976000 ,Rs 200000 
RAJENDRA KUMAR,Hardwar,SP,0,8th Pass,Rs 2394512 ,Rs 0 
H. D. DEVEGOWDA,Hassan,JD(S),0,Others,Rs 11439574 ,Rs 3582261 
KISHAN LAL DILER,Hathras,BJP,0,Not Given,Rs 2089121 ,Rs 0 
